param_set,exp_reg_weight,knn_k,idw_power,MAPE_24,MAPE_36,MAPE_48,MAE_24,MAE_36,MAE_48,RMSE_24,RMSE_36,RMSE_48
"(0.125, 5, 0.35)",0.125,5,0.35,0.23403482796886688,0.23121081756506418,0.22512461628769853,20668.310491227356,23289.08764243889,24547.3012124395,29654.847409762493,33646.70682017098,35865.91121729884
"(0.125, 5, 0.4)",0.125,5,0.4,0.23333142441665156,0.23032621096595274,0.22450509398627286,20575.975547119262,23173.328936911512,24460.89520238498,29524.775161061632,33500.83423090917,35748.406393653786
"(0.125, 5, 0.45)",0.125,5,0.45,0.23268023386535758,0.22958461161356297,0.22398648562260579,20485.67615048588,23068.802716796738,24380.239123935946,29402.848415696626,33365.46940847086,35641.78895780444
"(0.125, 5, 0.5)",0.125,5,0.5,0.23209603668441256,0.22894609372908695,0.2235547541192517,20397.8421586554,22968.821098998636,24304.06177607933,29290.038857236323,33241.72434869538,35547.00509970566
"(0.125, 5, 0.55)",0.125,5,0.55,0.23169995004156846,0.2283732753118078,0.22315951656798996,20321.10944582861,22875.530987485068,24229.998933028503,29187.196141616052,33130.54276581532,35464.81590361976
"(0.125, 5, 0.6)",0.125,5,0.6,0.23154151900916622,0.2280057403059385,0.22284192097532532,20262.136471870268,22796.04130760261,24160.95475406055,29095.012263805278,33032.661066272485,35395.767420776254
"(0.125, 5, 0.65)",0.125,5,0.65,0.23145145366107905,0.22789597096510822,0.22271385815215963,20207.92578772775,22741.01253173303,24105.813951959306,29013.99483075967,32948.581250754476,35340.173498249365
"(0.125, 5, 0.7)",0.125,5,0.7,0.23150453481064467,0.2278893135264723,0.22272459396262584,20168.02759035564,22697.020789020247,24068.461331514995,28944.45177143918,32878.5581598047,35298.11266735824
"(0.125, 5, 0.75)",0.125,5,0.75,0.23164150866776684,0.22805180421595456,0.22284082155035495,20132.764048905177,22664.965501386265,24041.573700369798,28886.488181265035,32822.60125241734,35269.43813181356
"(0.125, 5, 0.8)",0.125,5,0.8,0.23187299316301613,0.22829118976113363,0.22312063866014492,20104.663190422783,22639.715876946557,24029.944468102454,28840.014253321395,32780.48911183215,35253.79811455268
"(0.125, 5, 0.85)",0.125,5,0.85,0.23212464078504075,0.22859466373399112,0.22343465409587288,20078.09173316271,22620.986126503245,24020.92773216291,28804.76203921826,32751.793601532852,35250.662978469576
"(0.125, 5, 0.9)",0.125,5,0.9,0.2324011791525043,0.228907203668098,0.22376972188045197,20054.605246340838,22602.929771050618,24013.26462502046,28780.308282082882,32735.910196684978,35259.355659390734
"(0.125, 5, 0.95)",0.125,5,0.95,0.23269694453815748,0.22923979967372957,0.22414004539277793,20033.69647734254,22586.92693305753,24009.262994766003,28766.10067316689,32732.091322376305,35279.08272109467
"(0.125, 5, 1.0)",0.125,5,1.0,0.23305553384462813,0.2296045192269482,0.22454703769735623,20023.92250471501,22574.650818189322,24008.808105284443,28761.485351664352,32739.480211795122,35308.96431899648
"(0.125, 5, 1.05)",0.125,5,1.05,0.23352920333744187,0.23006094130391838,0.2249685945944278,20027.71356134305,22575.738060755688,24010.34073384393,28765.73403823647,32757.143543238773,35348.06218691123
"(0.125, 5, 1.1)",0.125,5,1.1,0.23408105794760442,0.23055473284678546,0.22551565707356552,20038.486508160786,22581.418275836008,24028.861124919185,28778.069696500355,32784.101732505376,35395.4052764747
"(0.125, 5, 1.15)",0.125,5,1.15,0.23462946294775816,0.23107738432571204,0.22613610840503945,20050.10856629731,22590.753011531553,24056.110793451582,28797.68998943894,32819.356187717334,35450.012894015184
"(0.125, 5, 1.2)",0.125,5,1.2,0.2351653224062875,0.2316722960478914,0.22681805181174522,20061.653589262743,22608.984894718702,24090.498818590473,28823.788051516953,32861.91310749094,35510.91520554077
"(0.125, 5, 1.25)",0.125,5,1.25,0.23569651740711675,0.23229190124154814,0.2275679949439741,20074.20208097315,22630.853280088362,24131.87948528836,28855.570276172853,32910.803584142785,35577.17094303968
"(0.125, 5, 1.3)",0.125,5,1.3,0.23623290059521573,0.23293688184589115,0.22830017528145724,20088.985219926126,22656.5890522564,24172.847123923264,28892.270963722644,32965.09991673085,35647.88213377738
"(0.125, 5, 1.35)",0.125,5,1.35,0.23678628968945986,0.23356986166119625,0.2290954740602203,20108.171549785853,22682.496983801404,24224.364952578107,28933.163809688704,33023.92817404726,35722.20572564842
"(0.125, 5, 1.4)",0.125,5,1.4,0.23738656085692345,0.2341952332813897,0.2298720015220391,20134.318530982993,22709.45514692821,24274.99624318345,28977.57034244429,33086.477180593574,35799.36209021527
"(0.125, 5, 1.45)",0.125,5,1.45,0.23798968442442053,0.2348241852691392,0.23062717759536394,20161.883235366804,22739.521950170143,24325.128432052432,29024.865534530487,33152.00421985719,35878.640522444104
"(0.125, 5, 1.5)",0.125,5,1.5,0.2385772447183038,0.23544862367100183,0.2313663936526582,20189.322404745428,22770.917300241403,24375.914316926443,29074.480903603388,33219.83784577219,35959.40198978759
"(0.125, 5, 1.55)",0.125,5,1.55,0.239159307654173,0.23605639780968782,0.23209535916005306,20217.732034899756,22802.70117718238,24430.751194973316,29125.905479099638,33289.37825548726,36041.07948829133
"(0.125, 5, 1.6)",0.125,5,1.6,0.23973541343495203,0.23665800261461864,0.23281065687500035,20246.677133902343,22835.836690543863,24488.467706368912,29178.68503716845,33360.09570140407,36123.17642705704
"(0.125, 5, 1.65)",0.125,5,1.65,0.24030673454796858,0.23725778361257563,0.23349633603968795,20276.904833965804,22870.505545911332,24543.816205489835,29232.420002225343,33431.52741106406,36205.26348322431
"(0.125, 5, 1.7)",0.125,5,1.7,0.24087499136048396,0.23786030001273684,0.23418706729536515,20308.346457054773,22907.644563456124,24599.812391552296,29286.76238518228,33503.27344721996,36286.974354003105
"(0.125, 5, 1.75)",0.125,5,1.75,0.24143759034950185,0.23844631884389783,0.23486797806314907,20340.09064367746,22944.602037641613,24657.215102636244,29341.41208402646,33574.991886452925,36368.00079044096
"(0.125, 5, 1.8)",0.125,5,1.8,0.24199734772849785,0.23901372176999605,0.23553358605990024,20372.576861655176,22980.720095806355,24713.720717821765,29396.112819746446,33646.39363185061,36448.08724041986
"(0.125, 5, 1.85)",0.125,5,1.85,0.2425523462071076,0.23955830770362355,0.23618353205752304,20405.718197156177,23015.75152251905,24768.776036953688,29450.647926113357,33717.23711088904,36527.02536530724
